Date : 2023-02-19 02:35:11
Directory : /Users/daniilrakityansky/Documents/Project-X
Total : 139 files,  4899 codes, 83 comments, 621 blanks, all 5603 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          2 |      1,314 |          0 |          2 |      1,316 |
| CSS              |         23 |      1,119 |         14 |        140 |      1,273 |
| JavaScript JSX   |         24 |      1,078 |          0 |         52 |      1,130 |
| Python           |         52 |        955 |         21 |        353 |      1,329 |
| XML              |         25 |        200 |          0 |         24 |        224 |
| JavaScript       |          7 |        159 |         31 |         37 |        227 |
| YAML             |          1 |         35 |         11 |          3 |         49 |
| Docker           |          1 |         14 |          6 |          7 |         27 |
| HTML             |          1 |         13 |          0 |          1 |         14 |
| pip requirements |          1 |          9 |          0 |          0 |          9 |
| Markdown         |          1 |          2 |          0 |          1 |          3 |
| Ignore           |          1 |          1 |          0 |          1 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |        139 |      4,899 |         83 |        621 |      5,603 |
| . (Files)                                                                                         |          7 |        133 |         18 |         36 |        187 |
| Bot                                                                                               |         16 |         85 |          1 |         43 |        129 |
| Bot (Files)                                                                                       |          2 |         45 |          0 |         15 |         60 |
| Bot/filters                                                                                       |          2 |         12 |          0 |          8 |         20 |
| Bot/handlers                                                                                      |          2 |         20 |          1 |          6 |         27 |
| Bot/keyboards                                                                                     |          5 |          0 |          0 |          5 |          5 |
| Bot/keyboards (Files)                                                                             |          1 |          0 |          0 |          1 |          1 |
| Bot/keyboards/inline                                                                              |          2 |          0 |          0 |          2 |          2 |
| Bot/keyboards/reply                                                                               |          2 |          0 |          0 |          2 |          2 |
| Bot/middlewares                                                                                   |          2 |          8 |          0 |          6 |         14 |
| Bot/misc                                                                                          |          2 |          0 |          0 |          2 |          2 |
| Bot/services                                                                                      |          1 |          0 |          0 |          1 |          1 |
| Database                                                                                          |         17 |        329 |         15 |        108 |        452 |
| Database (Files)                                                                                  |          2 |         27 |          0 |         10 |         37 |
| Database/models                                                                                   |          7 |        118 |          0 |         50 |        168 |
| Database/repositories                                                                             |          8 |        184 |         15 |         48 |        247 |
| FastAPI                                                                                           |         17 |        469 |          4 |        178 |        651 |
